,input,target,clipped_input,predicted_ed,predicted_at
24,"This implies that the government has to invest more on training local medical specialists in these fields to meet the growing ageing needs , thus , more expenditure is required .","This implies that the government has to invest more on training local medical specialists in these fields to meet the growing ageing needs and thus , more expenditure is required .","This implies that the government has to invest more on training local medical specialists in these fields to meet the growing ageing needs , thus , more expenditure is required","This is that the government has to invest more on training local medical domestic in these fields to meet the growing than needs , thus , more and is required required","This indicates that the government has to invest more on training environment medical the in these fields to meet the growing , needs , thus , . . is required"
25,"If during the course of employment , the individual 's welfare and safety were being threatened by the work that he was doing , the company will be held liable , despite being ignorant about the dangers that that he were vulnerable to ( { http : //www.law.duke.edu } [ HYPERLINK : http : //www.law.duke.edu ] , 2002 ) .","If , during the course of employment , the individual 's welfare and safety was being threatened by the work that he was doing , the company would be held liable , despite being ignorant about the dangers that he was vulnerable to ( { http : //www.law.duke.edu } [ HYPERLINK : http : //www.law.duke.edu ] , 2002 ) .","If during the course of employment , the individual 's welfare and safety were being threatened by the work that he was doing , the company will be held liable , despite. law. duke. edu } [ HYPERLINK : http : //www. law. duke. edu ] , 2002 )","If during the course of employment , the individual 's division and and were being be by by the that he was it , the the will will held be .","If during the course of employment , the individual the welfare and and were being threatened by the work that that was doing , the the the will be be ."
26,"If he chose to give safety the most priority , he would have pulled the emergency brake and the accident could probably be prevented .","If he chose to give safety the most priority , he would have pulled the emergency brake and the accident could probably have been prevented .","If he chose to give safety the most priority , he would have pulled the emergency brake and the accident could probably be prevented","If he chose to give safety the most people , he would have pulled the emergency break and the accident could probably be be",If he chose to give safety the the priority the he would have have the emergency break and the accident could probably be prevented
27,And they can make a products and sell it cheaper than most countries . ,"And they can make a product , and sell it cheaper than most countries . ",And they can make a products and sell it cheaper than most countries,And they can make a products and sell it cheaper than most .,And they can make a products and sell it cheaper than most countries
28,And children can only abide to the obligations if they are financially stable .,And children can only abide by the obligations if they were financially stable .,And children can only abide to the obligations if they are financially stable,And children can only HTML to the spell if they are financially .,"And children can only samurai to the , if they are fate stable"
29,Engineers ' motivation to design electric cars is obvious .,The motivation of engineers to design electric cars is obvious .,Engineers ' motivation to design electric cars is obvious,The ' motivation to design electric cars . .,The ' motivation to design electric cars is .
30,One of such important technologies is the wireless communications technology .,One such important technology is the wireless communications technology .,One of such important technologies is the wireless communications technology,One of such important technologies is the wireless . technology,One of such important technologies is the wireless communications technology
31,"Furthermore elderly can interact with other people at these centres , thus they will not feel lonely .","Furthermore the elderlyelderly people can interact with other people at these centres , thus they will not feel lonely .","Furthermore elderly can interact with other people at these centres , thus they will not feel lonely","Furthermore elderly can the with other people at these the , , they will will feel feel feel","Furthermore elderly can parents with other people at these the , , they , not not feel feel feel"
32,"However , the problem is if we use prescribed burning as a tool , it requires a lot of money - 10 times more than normal way .","However , the problem is that if we use prescribed burning as a tool , it will require a lot of money - ten times more than the normal way .","However , the problem is if we use prescribed burning as a tool , it requires a lot of money - 10 times more than normal way","However , the problem is if we use prescribed burning as a tool , it requires a lot of money for for times more than normal","However , the problem is if we use prescribed a as a tool , it requires a lot of money of of of more than normal"
33,But that is only for buildings that are not of government sector .,But that is only for buildings that do not belong to the government sector .,But that is only for buildings that are not of government sector,But that is only for buildings that are not of the the,But that is only for buildings that are not of government the .
34,"In extreme cases , some even gain weight because of this . ","In extreme cases , some even gain weight because of this . ","In extreme cases , some even gain weight because of this","In the cases , some even gain weight because of of","In extreme cases , some even gain weight . of of"
35,"At that point , Trevor Baylis came up with the idea of wind-up radio , making idea of broadcasting education possible .","At that point , Trevor Baylis came up with the idea of a wind-up radio , making the idea of broadcasting education possible .","At that point , Trevor Baylis came up with the idea of wind-up radio , making idea of broadcasting education possible","At that point , , , came up with the idea of of radio , making idea of . . .","At that point , the condition came up with the idea of of . , making idea of broadcasting . possible"
36,"Therefore , engineers may just stop at gathering pertinent information , and not go into generating multiple solutions as they are worry that their products may not be of demand as expected , which again hamper their design processes for innovations .","Therefore , engineers may just stop at gathering pertinent information , and not go into generating multiple solutions as they worry that their products may not be in demand as expected , which again may hamper their design processes for innovation .","Therefore , engineers may just stop at gathering pertinent information , and not go into generating multiple solutions as they are worry that their products may not be of demand as expected","Therefore , engineers may just stop at gathering colleagues information , and not go into the large solutions as they are worry that their products may not be of demand as","Therefore , engineers may just stop at gathering hints information , and not go to and multiple solutions as they are worry that their products may not be of demand as"
37,Therefore more attentions need to be given to the aged .,Therefore more attention is needed to be given to the aged .,Therefore more attentions need to be given to the aged,Therefore more attention need to be given to the aged,Therefore more attention need to be given to to .
38,"However , when things come to emergency , the most important thing is often the individual ability to react rationally to resolve the problem .","However , when it come to an emergency , the most important thing is often an individuals ability to react rationally to resolve the problem .","However , when things come to emergency , the most important thing is often the individual ability to react rationally to resolve the problem","However , when things come to emergency , the most important thing is often the a ability to to to to to the problem .","However , when things come to emergency , the most important thing is often the individual ability to to to to resolve the problem problem"
39,"Recently in 2009 , Nanyang Poly Technic won merit prize in Tan Kah Kee young inventors ' award competition in Singapore by its posture monitoring system and there are also research papers and prototypes of posture monitoring system by R&D from other countries but are not widely available in current market .","Recently in 2009 , Nanyang Polytechnic won a merit prize in the Tan Kah Kee Young Inventors ' Award competition in Singapore through its posture monitoring system . There are also research papers and prototypes of posture monitoring system by R&D from other countries but are not widely available in the current market .","Recently in 2009 , Nanyang Poly Technic won merit prize in Tan Kah Kee young inventors ' award competition in Singapore by its posture monitoring system and there are also research papers","Recently in Moscow , , a small won are the in lab lab , young the ' award competition in in in the posture was the and there are also .","Recently in the , , , , won a a in Project model model young the ' award competition in in by its posture limit system , and are also and"
40,"On the other hand , retailers then were just in need of a system like bar code .","On the other hand , retailers then were just in need of a system like the bar code .","On the other hand , retailers then were just in need of a system like bar code","On the other hand , , then were just in need of a system like bar .","On the other hand , , then were just in need of a system like a code"
41,An educated and skilled workforce contributes largely to the knowledge-based economy .,An educated and skilled workforce contributes to the knowledge-based economy .,An educated and skilled workforce contributes largely to the knowledge-based economy,An educated and and lives contribute gadgets to the the economy economy,An educated and skilled companies contribute and to the the economy
42,"Although fertility rates fallen , longevity increased .","Although fertility rates have fallen , longevity has increased .","Although fertility rates fallen , longevity increased","Although your castle fallen , . increased","Although I reduced fallen , in increased ."
43,By trial and error I succeedded which gave me a very good feeling about myself .,"By trial and error , I succeeded , which made me feel very good about myself .",By trial and error I succeedded which gave me a very good feeling about myself,"By trial and error I I , gave me me very good very about about",By trial and errors I the which gave me me very good feeling feeling myself
44,Even after school he has to participate in games and other extra curricular activities that are compulsory to attend . ,"Even after school , he has to participate in games and other extra curricular activities , that are compulsory to attend . ",Even after school he has to participate in games and other extra curricular activities that are compulsory to attend,Even after school he has to participate in games and other extra nursing activities that are schools to attend,Even after school he has to participate in games and other extra students activities that are compulsory to attend
45,"This problem causes us fail to recognize the opportunity to convert resources optimally so as to meet our objective , which is to meet desired needs of the public .","This problem causes us to fail to recognize the opportunity to convert resources optimally so as to meet our objective , which is to meet desired needs of the public .","This problem causes us fail to recognize the opportunity to convert resources optimally so as to meet our objective , which is to meet desired needs of the public","This problem causes us fail to recognize the opportunity to to resources , so as to meet our objective , which is to meet to to to the","This problem causes us fail to recognize the opportunity to to resources resources so as to to our objective , , is to to to to to the public"
46,"For instance , a man , who actually has Huntington 's disease and one day he takes the genetic testing , will then find out the truth about his condition .","For instance , a man who actually has Huntington 's disease takes the genetic testing one day and finds out the truth about his condition .","For instance , a man , who actually has Huntington 's disease and one day he takes the genetic testing , will then find out the truth about his condition","For instance , a man , who actually has , 's disease and one day he takes the is the , will then find out the the about his","For instance , a man , who actually has has 's disease and one day he takes just of the , will then find out the the truth the condition"
47,"Critics of the approach on lowered CPF contribution rates for older workers have argued that it is unnecessary , as 63 % of the respondents felt that "" seniors are not weak and ill "" , 87 % felt that "" senior citizens can play an active role in society "" ( C3A , 2008 ) .","Critics of the approach on lowered CPF contribution rates for older workers have argued that it is unnecessary , as 63 % of the respondents felt that "" seniors are not weak and ill "" and 87 % felt that "" senior citizens can play an active role in society "" ( C3A , 2008 ) .","Critics of the approach on lowered CPF contribution rates for older workers have argued that it is unnecessary , as 63 % of the respondents felt that "" seniors are not weak","of the approach on lips development H technologies for older workers have argued that it is of , as as % of the of felt that that had were not","Through of the approach on their physical contribution reduced for older workers have argued that it is unnecessary , as the % of the of the that the . are"
48,The world can not forget what happened in the Three Mile Island in 1979 .,The world can not forget what happened in Three Mile Island in 1979 .,The world can not forget what happened in the Three Mile Island in 1979,The world can not forget what happened in the the the Island in,The world can not forget what happened in the Three the . in in
49,"Apart from infrastructure , high-tech technology also can do a big favor in this issue .","Apart from infrastructure , high-tech can also do a big favor in this issue .","Apart from infrastructure , high-tech technology also can do a big favor in this issue","Apart from mainly , , technology also can do a big . .","Apart from infrastructure , , technology also can do a big favor in this issue"
50,Society could deem the government as unsympathetic ; it lowers the people 's morale .,Society could deem the government as unsympathetic .,Society could deem the government as unsympathetic ; it lowers the people 's morale,"State could believe the government as , ; it it the the the the the","Society could believe the government as the , , , the the the the the"
51,"This signifies a massive improvement in recovery time and lesser pain endured by patients ( Young , 2007 ) .","This signifies a massive improvement in recovery time and less pain endured by patients ( Young , 2007 ) .","This signifies a massive improvement in recovery time and lesser pain endured by patients ( Young , 2007 )","This Unlike a massive improvement in to time and less pain have by patients patients and , . .","This means a massive in in recovered time and less pain not by patients inflation the , the Plant"
52,I do not agree with the statement that public spending on the aged should be limited so that money can be divided to other areas of the country 's development .,I do not agree with the statement that public spending on the aged should be limited so that money can be diverted to other areas of the country 's development .,I do not agree with the statement that public spending on the aged should be limited so that money can be divided to other areas of the country 's development,I do not agree with the statement that public spending on the aged should be limited so so money can be divided to other areas of the country . .,I do not agree with the statement that public spending the the aged should be limited so that money can be that to other areas areas the country .
53,The significance of military to a nation is so great that it is not possible for a country to constrict its spending in this area .,The significance of the military to a nation is so great that it is not possible for a country to constrict its spending in this area .,The significance of military to a nation is so great that it is not possible for a country to constrict its spending in this area,The is of military to a nation is so great that it is not not for a country to my its . in this,The significance of military to a nation is so great that it is not possible for a country to up its spending in this .
54,the undersatnd ideas and the concepts help students learn informations about the many subjects and acccept good education form information the have .,"They understand ideas , and the concepts help students learn about many subjects and accept good education from information they have .",the undersatnd ideas and the concepts help students learn informations about the many subjects and acccept good education form information the have,"The understand ideas and the concepts help students learn information about the many subjects and , good education form information information",the to ideas and the concepts help students learn information about the many subjects and and good education form information the of
55,"Moreover , it is unclear who will truly take care of the aged after the government retreats from providing the social fund .","Moreover , it is unclear who will truly take care of the aged after the government retreats from providing","Moreover , it is unclear who will truly take care of the aged after the government retreats from providing the social fund","Moreover , it is is who will truly take care of the aged after the government government the the the social .","Moreover , it is unclear who will truly be care of of the after the government government from providing the social ."
56,"Applying psychology in engineering can help to make people more mature , responsible , and careful while dealing with complex high hazard systems like the nuclear reactors , which will definitely reduce the chance of accident .","Applying psychology in engineering can help to make people more mature , responsible , and careful while dealing with complex high hazard systems like nuclear reactors , which will definitely reduce the chances of an accident .","Applying psychology in engineering can help to make people more mature , responsible , and careful while dealing with complex high hazard systems like the nuclear reactors , which will definitely reduce","Listening psychology in engineering I help to to to more more more and , and and and ourselves with complex complex and economic economic economic nuclear the , which which definitely","To psychology in engineering can help to make people more mature , responsible , and careful while with with complex complex and system , the nuclear the , which , definitely"
57,Young people nowdays do n't give enough time to helping their communities .,Young people nowadays do n't give enough time to help their communities .,Young people nowdays do n't give enough time to helping their communities,"Young people nowadays do , give enough time to to their .",Young people nowadays do the give enough time to help their .
58,"( Norrgard , 2008 ) Since it is never certain that one will inherit a disorder from his or her parents , a disclosure of the result of such a test therefore does not bring any direct harm to one 's relatives .","( Norrgard , 2008 ) Since it is never certain that one will inherit a disorder from one 's parents , the disclosure of the result of such a test would therefore not bring any direct harm to one 's relatives .","( Norrgard , 2008 ) Since it is never certain that one will inherit a disorder from his or her parents , a disclosure of the result of such a test therefore","Every Every , , , Since it is never certain that one will , a of from his or her parents , . .","The construction , , construction Since it is never certain that one one , a disorder from from or her parents , a"
59,travelling by youself is very good for your fulture .,Traveling by yourself is very good for your future .,travelling by youself is very good for your fulture,traveling by yourself is very good for your future,travelling by yourself is very good for your future
60,"In this way a person always feels to be original and `` modern '' , not `` ancient '' like people that surroand him or her .","In this way , a person always feels original and `` modern , '' not `` ancient '' like the people that surround him or her .","In this way a person always feels to be original and `` modern '' , not `` ancient '' like people that surroand him or her","In this way a person always feels to be original and and modern , , not not , , like people that","In this way a person always feels to be original and and modern the , not not the the the . that the . ."
61,"In 2009 Indian Wells Tennis Masters , Hawk-eye system made a mistake in the quarter-final .","In 2009 Indian Wells Tennis Masters , the Hawk-eye system made a mistake in the quarter-final .","In 2009 Indian Wells Tennis Masters , Hawk-eye system made a mistake in the quarter-final","In , Indian organic , , , , system , a mistake in the","In the American Kafka , Masters , , system made a mistake in the"
62,Although the professor in the listening passage explains that the solution is acceptable because not only the striped bass population is vital for menhaden but also the entire ecological system based on it .,"Although the professor in the listening passage explains that the solution is acceptable because not only is the striped bass population vital for menhaden , but the entire ecological system is based on it .",Although the professor in the listening passage explains that the solution is acceptable because not only the striped bass population is vital for menhaden but also the entire ecological system based on,Although the professor in the listening passage explains that the solution is is because not only the the the the is is for for but but the the . system based,Although the professor in the listening passage explains that the solution is is because not not not a the the is is is of of is of of of of of
63,"In other words , when the technology becomes more mature and more profitable in the future ( which is very possible ) , it is very hard to guarantee that it will only be put into good use .","In other words , when the technology becomes more mature and more profitable in the future ( which is very possible ) , it is very hard to guarantee that it will only be put to good use good use .","In other words , when the technology becomes more mature and more profitable in the future ( which is very possible ) , it is very hard to guarantee that it will","In other words , when the technology becomes more mature and more methods in the future future which is very very as , it is very hard hard . it","In other words , when the technology becomes more more and more more in the future future which is is possible effective , is is is is hard not it"
64,"After which , safety is another area of concern .","After functionality , safety is another area of concern .","After which , safety is another area of concern","After which , , is another the of of","After which , safety is is area area is"
65,"When we review the history , we can not ignore the extraordinary benefits brought by the technology .",History has shown the extraordinary benefits brought about by technology .,"When we review the history , we can not ignore the extraordinary benefits brought by the technology","When we review the history , we can not ignore the . . brought by technology","When we review the history , we can not ignore the the benefits . by the technology"
66,This is very useful in military aspect .,This is very useful in the military aspect .,This is very useful in military aspect,This is very useful in the of,This is very useful in military .
67,"Brifly , sharing the cost of vecation trip is very good advantege for travel . ","Briefly , sharing the cost of a vacation trip is beneficial for travel . ","Brifly , sharing the cost of vecation trip is very good advantege for travel",", sharing the cost of of trip is very good . . .","The , sharing the cost of of a is is a a for travel"
68,""" The LTA , SBS Transit and SMRT , have standardised the signs for priority seating in MRT trains .","open inverted coma not required The LTA , SBS Transit and SMRT , have standardised the signs for priority seating in MRT trains .",""" The LTA , SBS Transit and SMRT , have standardised the signs for priority seating in MRT trains","The main , , , and , , have hardly the the for . . in . trains trains trains","The The construction , construction ticket and the , have have the in for the in in in the ."
69,"In conclusion , sodium-cooled fast reactor is rated better in performance , cost saving , and safety .","In conclusion , the sodium-cooled fast reactor is rated better in performance , capability to save cost , and safety .","In conclusion , sodium-cooled fast reactor is rated better in performance , cost saving , and safety","In conclusion , , fast , is reported better in performance , cost electricity , and safe","In conclusion , , fast the is universally better in performance , cost saving , and ."
70,"Given the fact that the two reactors focus on different aspect on safety , where the latter focuses on system operation rather than coolant , it is difficult to gauge the effectiveness of their practice based on theories .","Given the fact that the two reactors focus on different aspects of safety , where the latter focuses on system operation rather than coolant , it is difficult to gauge the effectiveness of their practice based on theories .","Given the fact that the two reactors focus on different aspect on safety , where the latter focuses on system operation rather than coolant , it is difficult to gauge the effectiveness","Given the fact that the two , focus on different aspects of of , where the the the on system the the than the , it is is to to to","Given the fact that the two the focus on different aspect on the , where the the focuses on system operation than than than , than is is difficult a a"
71,So only time will tell what actually happens . ,So only time will tell what actually happens . ,So only time will tell what actually happens,So only time will tell what actually else,So only time will tell what actually happens happens
72,"Investment in R&D boosts economic growth , increases productivity and generates new product to improve quality of people 's live today .","Investment in R&D boosts economic growth , increases productivity and generates new product to improve the quality of lives .","Investment in R&D boosts economic growth , increases productivity and generates new product to improve quality of people 's live today","The in in in economic growth , growth space and and and product product to quality quality of of the in","The in the the economic growth growth increases income , , , product to to of of of ."
73,"The accident was caused by the lack of the use of psychology during the design process , and could have been prevented , had more psychological considerations been into the aircraft designs .","The accident was caused by the lack of the use of psychology during the design process , and could have been prevented , had more psychological considerations been taken into the aircraft designs .","The accident was caused by the lack of the use of psychology during the design process , and could have been prevented , had more psychological considerations been into the aircraft designs","The accident was caused by the lack of the use of psychology during the design process , and could have been to , , , an dealing been in the .","The accident was caused by the lack of the the of psychology during the the process , and could have been prevented , had more an to . into into"
74,"In order to satisfy the needs , the generation IV reactor concept is brought forward for further research and utilization of nuclear power , and the Very High Temperature Reactor [ VHTR ] , which uses a graphite-moderated nuclear reactor with a once-through uranium fuel cycle under an outlet temperature of 1000 ° C , is one of such concepts .","In order to satisfy the needs , the generation IV reactor concept has been brought forward for further research and the utilization of nuclear power , and the Very High Temperature Reactor [ VHTR ] , which uses a graphite-moderated nuclear reactor with a once-through uranium fuel cycle under an outlet temperature of 1000 ° C , is one such concept .","In order to satisfy the needs , the generation IV reactor concept is brought forward for further research and utilization of nuclear power , and the Very High Temperature Reactor [ VHTR","In order to satisfy the needs , the generation , , concept is brought forward forward to for and and of the power power power the and and the temperature the","In order to satisfied the needs , the generation , , concept is brought to to further research research the of of power power and the and a . economic economic"
75,"The aged have to work and saving for their lives instead of waiting for the government , this will utilize their contribution .",The aged have to work and save for their lives instead of waiting for the government . This will utilize their contribution .,"The aged have to work and saving for their lives instead of waiting for the government , this will utilize their contribution","The aged have to work and save for their lives instead of waiting for the the , this will use their or",The aged have to work and saving for their lives of of to for the government government this will utilize their their
76,"And the current technology has made it possible for the surveillance system into a wide-spread use in our daily life , such as electronic payment , supply chain management , and livestock .","The current technology has made it possible for the surveillance system to be used in our daily lives , such as electronic payment , supply chain management , and livestock .","And the current technology has made it possible for the surveillance system into a wide-spread use in our daily life , such as electronic payment , supply chain management , and livestock","And the current technology has made it possible for the surveillance system into a a use in our daily life , such as electronic payment , supply chain management . and","And the current technology has made it possible for the surveillance system into a the the in our daily life , such as electronic payment , supply the . . ."
